Experiment	bias spectroscopy	
Saved Date	02.07.2018 11:28:46	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.39798E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 11:26:06	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current [AVG] (A)	Bias [AVG] (V)	Z [AVG] (m)	LI Demod 1 X [AVG] (A)	LI Demod 1 Y [AVG] (A)	Current [00001] (A)	Bias [00001] (V)	Z [00001] (m)	LI Demod 1 X [00001] (A)	LI Demod 1 Y [00001] (A)	Current [00002] (A)	Bias [00002] (V)	Z [00002] (m)	LI Demod 1 X [00002] (A)	LI Demod 1 Y [00002] (A)	Current [AVG] [bwd] (A)	Bias [AVG] [bwd] (V)	Z [AVG] [bwd] (m)	LI Demod 1 X [AVG] [bwd] (A)	LI Demod 1 Y [AVG] [bwd] (A)	Current [00001] [bwd] (A)	Bias [00001] [bwd] (V)	Z [00001] [bwd] (m)	LI Demod 1 X [00001] [bwd] (A)	LI Demod 1 Y [00001] [bwd] (A)	Current [00002] [bwd] (A)	Bias [00002] [bwd] (V)	Z [00002] [bwd] (m)	LI Demod 1 X [00002] [bwd] (A)	LI Demod 1 Y [00002] [bwd] (A)	Current [AVG] (A) [filt]	Bias [AVG] (V) [filt]	Z [AVG] (m) [filt]	LI Demod 1 X [AVG] (A) [filt]	LI Demod 1 Y [AVG] (A) [filt]	Current [00001] (A) [filt]	Bias [00001] (V) [filt]	Z [00001] (m) [filt]	LI Demod 1 X [00001] (A) [filt]	LI Demod 1 Y [00001] (A) [filt]	Current [00002] (A) [filt]	Bias [00002] (V) [filt]	Z [00002] (m) [filt]	LI Demod 1 X [00002] (A) [filt]	LI Demod 1 Y [00002] (A) [filt]	Current [AVG] (A) [bwd] [filt]	Bias [AVG] (V) [bwd] [filt]	Z [AVG] (m) [bwd] [filt]	LI Demod 1 X [AVG] (A) [bwd] [filt]	LI Demod 1 Y [AVG] (A) [bwd] [filt]	Current [00001] (A) [bwd] [filt]	Bias [00001] (V) [bwd] [filt]	Z [00001] (m) [bwd] [filt]	LI Demod 1 X [00001] (A) [bwd] [filt]	LI Demod 1 Y [00001] (A) [bwd] [filt]	Current [00002] (A) [bwd] [filt]	Bias [00002] (V) [bwd] [filt]	Z [00002] (m) [bwd] [filt]	LI Demod 1 X [00002] (A) [bwd] [filt]	LI Demod 1 Y [00002] (A) [bwd] [filt]
-500.00000E-3	-400.38600E-12	-500.00000E-3	-4.3998485E-9	7.7197797E-12	501.36512E-15	-400.29571E-12	-500.00000E-3	-4.4017150E-9	7.7383343E-12	565.03142E-15	-400.47629E-12	-500.00000E-3	-4.3979824E-9	7.7012259E-12	437.69881E-15	-403.53901E-12	-500.00000E-3	-4.3998485E-9	7.7487660E-12	519.42484E-15	-404.71709E-12	-500.00000E-3	-4.4017150E-9	7.6509545E-12	443.00598E-15	-402.36092E-12	-500.00000E-3	-4.3979824E-9	7.8465776E-12	595.84369E-15	-400.38600E-12	-500.00000E-3	-4.3998485E-9	7.7197797E-12	501.36512E-15	-400.29571E-12	-500.00000E-3	-4.4017150E-9	7.7383343E-12	565.03142E-15	-400.47629E-12	-500.00000E-3	-4.3979824E-9	7.7012259E-12	437.69881E-15	-403.53901E-12	-500.00000E-3	-4.3998485E-9	7.7487660E-12	519.42484E-15	-404.71709E-12	-500.00000E-3	-4.4017150E-9	7.6509545E-12	443.00598E-15	-402.36092E-12	-500.00000E-3	-4.3979824E-9	7.8465776E-12	595.84369E-15
-498.74842E-3	-398.50678E-12	-498.74842E-3	-4.3998485E-9	7.6975926E-12	528.34440E-15	-398.87321E-12	-498.74842E-3	-4.4017150E-9	7.6919218E-12	554.32167E-15	-398.14038E-12	-498.74842E-3	-4.3979824E-9	7.7032634E-12	502.36714E-15	-401.76329E-12	-498.74842E-3	-4.3998485E-9	7.7291862E-12	453.12782E-15	-403.20378E-12	-498.74842E-3	-4.4017150E-9	7.7976228E-12	420.66662E-15	-400.32280E-12	-498.74842E-3	-4.3979824E-9	7.6607496E-12	485.58905E-15	-398.44114E-12	-498.74842E-3	-4.3998485E-9	7.6991894E-12	503.46738E-15	-398.69644E-12	-498.74842E-3	-4.4017150E-9	7.7224000E-12	543.85175E-15	-398.18585E-12	-498.74842E-3	-4.3979824E-9	7.6759788E-12	463.08297E-15	-401.61327E-12	-498.74842E-3	-4.3998485E-9	7.7210677E-12	484.25196E-15	-402.81145E-12	-498.74842E-3	-4.4017150E-9	7.6942012E-12	442.69091E-15	-400.41512E-12	-498.74842E-3	-4.3979824E-9	7.7479334E-12	525.81306E-15
-497.49687E-3	-396.46658E-12	-497.49687E-3	-4.3998485E-9	7.7318655E-12	508.63567E-15	-397.17934E-12	-497.49687E-3	-4.4017150E-9	7.7720773E-12	549.65396E-15	-395.75382E-12	-497.49687E-3	-4.3979824E-9	7.6916546E-12	467.61737E-15	-399.69986E-12	-497.49687E-3	-4.3998485E-9	7.6840218E-12	477.80681E-15	-400.80614E-12	-497.49687E-3	-4.4017150E-9	7.6755729E-12	477.82812E-15	-398.59357E-12	-497.49687E-3	-4.3979824E-9	7.6924708E-12	477.78556E-15	-396.50688E-12	-497.49687E-3	-4.3998485E-9	7.6634749E-12	498.90284E-15	-396.96185E-12	-497.49687E-3	-4.4017150E-9	7.6902157E-12	515.75210E-15	-396.05189E-12	-497.49687E-3	-4.3979824E-9	7.6367341E-12	482.05352E-15	-399.65858E-12	-497.49687E-3	-4.3998485E-9	7.6917422E-12	470.95590E-15	-400.86098E-12	-497.49687E-3	-4.4017150E-9	7.7131140E-12	455.60013E-15	-398.45618E-12	-497.49687E-3	-4.3979824E-9	7.6703704E-12	486.31178E-15
-496.24529E-3	-394.50143E-12	-496.24529E-3	-4.3998485E-9	7.5479865E-12	458.43521E-15	-395.02004E-12	-496.24529E-3	-4.4017150E-9	7.6040025E-12	426.38161E-15	-393.98285E-12	-496.24529E-3	-4.3979824E-9	7.4919706E-12	490.48883E-15	-397.47794E-12	-496.24529E-3	-4.3998485E-9	7.6715075E-12	406.56977E-15	-398.53693E-12	-496.24529E-3	-4.4017150E-9	7.7339749E-12	404.85234E-15	-396.41895E-12	-496.24529E-3	-4.3979824E-9	7.6090393E-12	408.28720E-15	-394.59599E-12	-496.24529E-3	-4.3998485E-9	7.6369041E-12	483.75382E-15	-395.10251E-12	-496.24529E-3	-4.4017150E-9	7.6727799E-12	480.84719E-15	-394.08948E-12	-496.24529E-3	-4.3979824E-9	7.6010283E-12	486.66052E-15	-397.65685E-12	-496.24529E-3	-4.3998485E-9	7.6801456E-12	482.93037E-15	-398.74012E-12	-496.24529E-3	-4.4017150E-9	7.7129353E-12	484.53261E-15	-396.57358E-12	-496.24529E-3	-4.3979824E-9	7.6473550E-12	481.32819E-15
-494.99375E-3	-392.74894E-12	-494.99375E-3	-4.3998485E-9	7.5935265E-12	493.32608E-15	-393.10127E-12	-494.99375E-3	-4.4017150E-9	7.5984791E-12	481.86357E-15	-392.39662E-12	-494.99375E-3	-4.3979824E-9	7.5885730E-12	504.78854E-15	-395.82668E-12	-494.99375E-3	-4.3998485E-9	7.6192733E-12	577.91196E-15	-397.11426E-12	-494.99375E-3	-4.4017150E-9	7.6542496E-12	589.15947E-15	-394.53910E-12	-494.99375E-3	-4.3979824E-9	7.5842960E-12	566.66450E-15	-392.73160E-12	-494.99375E-3	-4.3998485E-9	7.6177294E-12	466.10236E-15	-393.23153E-12	-494.99375E-3	-4.4017150E-9	7.6623491E-12	458.89827E-15	-392.23166E-12	-494.99375E-3	-4.3979824E-9	7.5731097E-12	473.30645E-15	-395.44867E-12	-494.99375E-3	-4.3998485E-9	7.6876179E-12	514.88365E-15	-396.09846E-12	-494.99375E-3	-4.4017150E-9	7.7136188E-12	523.95978E-15	-394.79889E-12	-494.99375E-3	-4.3979824E-9	7.6616170E-12	505.80758E-15
-493.74217E-3	-390.89232E-12	-493.74217E-3	-4.3998485E-9	7.7087173E-12	435.04721E-15	-391.39583E-12	-493.74217E-3	-4.4017150E-9	7.7876794E-12	407.60982E-15	-390.38878E-12	-493.74217E-3	-4.3979824E-9	7.6297562E-12	462.48460E-15	-393.58616E-12	-493.74217E-3	-4.3998485E-9	7.7752440E-12	530.07306E-15	-393.89700E-12	-493.74217E-3	-4.4017150E-9	7.7743870E-12	557.69023E-15	-393.27533E-12	-493.74217E-3	-4.3979824E-9	7.7761018E-12	502.45593E-15	-390.92263E-12	-493.74217E-3	-4.3998485E-9	7.6073748E-12	464.67561E-15	-391.41002E-12	-493.74217E-3	-4.4017150E-9	7.6609162E-12	455.13945E-15	-390.43521E-12	-493.74217E-3	-4.3979824E-9	7.5538326E-12	474.21182E-15	-393.02236E-12	-493.74217E-3	-4.3998485E-9	7.6939895E-12	532.17706E-15	-392.99305E-12	-493.74217E-3	-4.4017150E-9	7.7181005E-12	537.76834E-15	-393.05170E-12	-493.74217E-3	-4.3979824E-9	7.6698778E-12	526.58583E-15
-492.49062E-3	-389.09653E-12	-492.49062E-3	-4.3998485E-9	7.5244064E-12	431.54233E-15	-389.73780E-12	-492.49062E-3	-4.4017150E-9	7.5844322E-12	483.13176E-15	-388.45530E-12	-492.49062E-3	-4.3979824E-9	7.4643798E-12	379.95293E-15	-389.81698E-12	-492.49062E-3	-4.3998485E-9	7.7255962E-12	577.77643E-15	-388.12792E-12	-492.49062E-3	-4.4017150E-9	7.7413076E-12	573.60345E-15	-391.50605E-12	-492.49062E-3	-4.3979824E-9	7.7098857E-12	581.94947E-15	-389.15543E-12	-492.49062E-3	-4.3998485E-9	7.5835709E-12	483.42650E-15	-389.61789E-12	-492.49062E-3	-4.4017150E-9	7.6424422E-12	474.46297E-15	-388.69299E-12	-492.49062E-3	-4.3979824E-9	7.5246987E-12	492.39004E-15	-390.52733E-12	-492.49062E-3	-4.3998485E-9	7.6885512E-12	533.36399E-15	-389.84432E-12	-492.49062E-3	-4.4017150E-9	7.7169321E-12	523.78485E-15	-391.21037E-12	-492.49062E-3	-4.3979824E-9	7.6601702E-12	542.94313E-15
-491.23904E-3	-387.42570E-12	-491.23904E-3	-4.3998485E-9	7.5962448E-12	560.94452E-15	-387.79829E-12	-491.23904E-3	-4.4017150E-9	7.6673494E-12	497.26141E-15	-387.05308E-12	-491.23904E-3	-4.3979824E-9	7.5251394E-12	624.62763E-15	-387.88334E-12	-491.23904E-3	-4.3998485E-9	7.5868591E-12	470.14888E-15	-386.56689E-12	-491.23904E-3	-4.4017150E-9	7.6352657E-12	431.87299E-15	-389.19978E-12	-491.23904E-3	-4.3979824E-9	7.5384525E-12	508.42474E-15	-387.37494E-12	-491.23904E-3	-4.3998485E-9	7.5412602E-12	507.90351E-15	-387.76610E-12	-491.23904E-3	-4.4017150E-9	7.5950661E-12	490.48298E-15	-386.98375E-12	-491.23904E-3	-4.3979824E-9	7.4874542E-12	525.32403E-15	-388.17902E-12	-491.23904E-3	-4.3998485E-9	7.6669894E-12	512.30428E-15	-387.17154E-12	-491.23904E-3	-4.4017150E-9	7.7189782E-12	491.07219E-15	-389.18649E-12	-491.23904E-3	-4.3979824E-9	7.6150006E-12	533.53638E-15
-489.98749E-3	-385.70697E-12	-489.98749E-3	-4.3998485E-9	7.4426732E-12	552.87605E-15	-385.89668E-12	-489.98749E-3	-4.4017150E-9	7.4838998E-12	536.76204E-15	-385.51728E-12	-489.98749E-3	-4.3979824E-9	7.4014475E-12	568.99006E-15	-386.28079E-12	-489.98749E-3	-4.3998485E-9	7.6888843E-12	508.88390E-15	-385.59883E-12	-489.98749E-3	-4.4017150E-9	7.7646127E-12	445.78916E-15	-386.96271E-12	-489.98749E-3	-4.3979824E-9	7.6131549E-12	571.97861E-15	-385.53885E-12	-489.98749E-3	-4.3998485E-9	7.4943229E-12	510.67673E-15	-385.84375E-12	-489.98749E-3	-4.4017150E-9	7.5274778E-12	487.57352E-15	-385.23393E-12	-489.98749E-3	-4.3979824E-9	7.4611680E-12	533.77994E-15	-386.09846E-12	-489.98749E-3	-4.3998485E-9	7.6330418E-12	497.85669E-15	-385.05071E-12	-489.98749E-3	-4.4017150E-9	7.7188551E-12	469.59170E-15	-387.14620E-12	-489.98749E-3	-4.3979824E-9	7.5472293E-12	526.12168E-15
-488.73591E-3	-383.60601E-12	-488.73591E-3	-4.3998485E-9	7.4687262E-12	503.02888E-15	-383.83241E-12	-488.73591E-3	-4.4017150E-9	7.4638143E-12	472.52003E-15	-383.37961E-12	-488.73591E-3	-4.3979824E-9	7.4736380E-12	533.53773E-15	-384.12656E-12	-488.73591E-3	-4.3998485E-9	7.6061275E-12	477.76225E-15	-383.39443E-12	-488.73591E-3	-4.4017150E-9	7.7472430E-12	506.51974E-15	-384.85870E-12	-488.73591E-3	-4.3979824E-9	7.4650121E-12	449.00474E-15	-383.67412E-12	-488.73591E-3	-4.3998485E-9	7.4613805E-12	491.51313E-15	-383.94782E-12	-488.73591E-3	-4.4017150E-9	7.4768742E-12	468.73990E-15	-383.40039E-12	-488.73591E-3	-4.3979824E-9	7.4458868E-12	514.28642E-15	-384.25202E-12	-488.73591E-3	-4.3998485E-9	7.6022591E-12	499.76142E-15	-383.19656E-12	-488.73591E-3	-4.4017150E-9	7.7143630E-12	465.39617E-15	-385.30748E-12	-488.73591E-3	-4.3979824E-9	7.4901535E-12	534.12662E-15
