Experiment	bias spectroscopy	
Saved Date	02.07.2018 11:00:44	
User		
Date		
X (m)	-314.915E-9	
Y (m)	-54.2692E-9	
Z (m)	-4.55771E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.07.2018 10:56:12	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-399.56077E-12	-500.00000E-3	-4.5615325E-9	7.4336561E-12	499.96520E-15	-407.01431E-12	-500.00000E-3	-4.5615325E-9	7.4186525E-12	592.58788E-15	-399.56077E-12	-500.00000E-3	-4.5615325E-9	7.4336561E-12	499.96520E-15	-407.01431E-12	-500.00000E-3	-4.5615325E-9	7.4186525E-12	592.58788E-15
-498.74842E-3	-397.87854E-12	-498.74842E-3	-4.5615325E-9	7.3421737E-12	474.24022E-15	-405.92474E-12	-498.74842E-3	-4.5615325E-9	7.3774866E-12	471.48841E-15	-397.67015E-12	-498.74842E-3	-4.5615325E-9	7.3672440E-12	509.39298E-15	-404.93853E-12	-498.74842E-3	-4.5615325E-9	7.3918892E-12	559.96874E-15
-497.49687E-3	-395.53955E-12	-497.49687E-3	-4.5615325E-9	7.2978047E-12	560.42470E-15	-402.26533E-12	-497.49687E-3	-4.5615325E-9	7.3619999E-12	591.76833E-15	-396.04484E-12	-497.49687E-3	-4.5615325E-9	7.3127884E-12	517.01639E-15	-402.95708E-12	-497.49687E-3	-4.5615325E-9	7.3731741E-12	536.79793E-15
-496.24529E-3	-394.03897E-12	-496.24529E-3	-4.5615325E-9	7.2839079E-12	500.57544E-15	-400.35705E-12	-496.24529E-3	-4.5615325E-9	7.3697298E-12	510.39012E-15	-394.74768E-12	-496.24529E-3	-4.5615325E-9	7.2808313E-12	519.31121E-15	-401.02210E-12	-496.24529E-3	-4.5615325E-9	7.3595626E-12	535.98011E-15
-494.99375E-3	-394.26701E-12	-494.99375E-3	-4.5615325E-9	7.2315817E-12	541.43403E-15	-400.00186E-12	-494.99375E-3	-4.5615325E-9	7.3562337E-12	525.74866E-15	-393.51486E-12	-494.99375E-3	-4.5615325E-9	7.2484718E-12	512.87696E-15	-399.28216E-12	-494.99375E-3	-4.5615325E-9	7.3430238E-12	531.81819E-15
-493.74217E-3	-392.88461E-12	-493.74217E-3	-4.5615325E-9	7.2794513E-12	481.43987E-15	-397.45524E-12	-493.74217E-3	-4.5615325E-9	7.3158875E-12	573.58914E-15	-391.91217E-12	-493.74217E-3	-4.5615325E-9	7.2103734E-12	503.95061E-15	-397.80274E-12	-493.74217E-3	-4.5615325E-9	7.3143765E-12	520.48486E-15
-492.49062E-3	-389.67024E-12	-492.49062E-3	-4.5615325E-9	7.1044507E-12	480.29788E-15	-395.93478E-12	-492.49062E-3	-4.5615325E-9	7.2890522E-12	445.30081E-15	-389.76880E-12	-492.49062E-3	-4.5615325E-9	7.1616684E-12	497.28911E-15	-396.26147E-12	-492.49062E-3	-4.5615325E-9	7.2851039E-12	518.66996E-15
-491.23904E-3	-386.90301E-12	-491.23904E-3	-4.5615325E-9	7.1284046E-12	539.23690E-15	-395.49203E-12	-491.23904E-3	-4.5615325E-9	7.2199130E-12	534.24859E-15	-387.33722E-12	-491.23904E-3	-4.5615325E-9	7.1223604E-12	502.34057E-15	-394.44198E-12	-491.23904E-3	-4.5615325E-9	7.2575609E-12	508.86877E-15
-489.98749E-3	-385.00919E-12	-489.98749E-3	-4.5615325E-9	7.0683607E-12	444.08075E-15	-392.51088E-12	-489.98749E-3	-4.5615325E-9	7.2760816E-12	561.78532E-15	-385.20412E-12	-489.98749E-3	-4.5615325E-9	7.0995636E-12	512.03800E-15	-392.40239E-12	-489.98749E-3	-4.5615325E-9	7.2356439E-12	484.37751E-15
-488.73591E-3	-382.95961E-12	-488.73591E-3	-4.5615325E-9	7.1010719E-12	592.94692E-15	-389.50224E-12	-488.73591E-3	-4.5615325E-9	7.1956972E-12	397.70818E-15	-383.77873E-12	-488.73591E-3	-4.5615325E-9	7.1015598E-12	522.47985E-15	-390.32927E-12	-488.73591E-3	-4.5615325E-9	7.2103300E-12	460.58285E-15
-487.48437E-3	-382.42304E-12	-487.48437E-3	-4.5615325E-9	7.1152459E-12	499.64069E-15	-388.17383E-12	-487.48437E-3	-4.5615325E-9	7.1901825E-12	390.93980E-15	-382.58166E-12	-487.48437E-3	-4.5615325E-9	7.1051576E-12	526.11561E-15	-388.48474E-12	-487.48437E-3	-4.5615325E-9	7.1894170E-12	454.30529E-15
-486.23279E-3	-383.14613E-12	-486.23279E-3	-4.5615325E-9	7.1173497E-12	528.49489E-15	-387.35909E-12	-486.23279E-3	-4.5615325E-9	7.1439773E-12	491.01679E-15	-381.04392E-12	-486.23279E-3	-4.5615325E-9	7.0976463E-12	533.46975E-15	-386.91672E-12	-486.23279E-3	-4.5615325E-9	7.1699131E-12	469.50979E-15
-484.98124E-3	-378.59013E-12	-484.98124E-3	-4.5615325E-9	7.0973691E-12	533.59812E-15	-385.53280E-12	-484.98124E-3	-4.5615325E-9	7.1835740E-12	561.16852E-15	-379.00610E-12	-484.98124E-3	-4.5615325E-9	7.0752939E-12	527.77330E-15	-385.35317E-12	-484.98124E-3	-4.5615325E-9	7.1578412E-12	493.76719E-15
-483.72966E-3	-375.68890E-12	-483.72966E-3	-4.5615325E-9	7.0039903E-12	558.86020E-15	-383.39731E-12	-483.72966E-3	-4.5615325E-9	7.1427976E-12	455.14037E-15	-376.84908E-12	-483.72966E-3	-4.5615325E-9	7.0416086E-12	524.74827E-15	-383.61064E-12	-483.72966E-3	-4.5615325E-9	7.1505952E-12	502.77940E-15
-482.47808E-3	-374.97805E-12	-482.47811E-3	-4.5615325E-9	7.0372536E-12	472.73383E-15	-381.93809E-12	-482.47811E-3	-4.5615325E-9	7.1167469E-12	500.97426E-15	-374.93494E-12	-482.47811E-3	-4.5615325E-9	7.0131327E-12	512.90845E-15	-381.78322E-12	-482.47811E-3	-4.5615325E-9	7.1304048E-12	503.38580E-15
-481.22653E-3	-373.98079E-12	-481.22653E-3	-4.5615325E-9	6.9592977E-12	519.65517E-15	-379.91366E-12	-481.22653E-3	-4.5615325E-9	7.1802490E-12	524.25024E-15	-373.36348E-12	-481.22653E-3	-4.5615325E-9	6.9910293E-12	502.34594E-15	-380.05599E-12	-481.22653E-3	-4.5615325E-9	7.0985592E-12	510.07115E-15
-479.97496E-3	-371.58643E-12	-479.97496E-3	-4.5615325E-9	6.9966515E-12	489.86227E-15	-378.15348E-12	-479.97496E-3	-4.5615325E-9	6.9826046E-12	510.12406E-15	-371.88616E-12	-479.97496E-3	-4.5615325E-9	6.9611270E-12	506.48819E-15	-378.47123E-12	-479.97496E-3	-4.5615325E-9	7.0747705E-12	519.08510E-15
-478.72341E-3	-369.70399E-12	-478.72341E-3	-4.5615325E-9	6.9545650E-12	487.89716E-15	-377.14470E-12	-478.72341E-3	-4.5615325E-9	7.0392385E-12	545.60544E-15	-370.39513E-12	-478.72341E-3	-4.5615325E-9	6.9199798E-12	517.99792E-15	-376.84778E-12	-478.72341E-3	-4.5615325E-9	7.0762055E-12	520.57057E-15
-477.47183E-3	-369.79425E-12	-477.47183E-3	-4.5615325E-9	6.8062006E-12	596.91905E-15	-375.62264E-12	-477.47183E-3	-4.5615325E-9	7.1352486E-12	494.47620E-15	-369.06839E-12	-477.47183E-3	-4.5615325E-9	6.8901980E-12	524.86487E-15	-375.10725E-12	-477.47183E-3	-4.5615325E-9	7.0711080E-12	506.66985E-15
-476.22028E-3	-367.43822E-12	-476.22028E-3	-4.5615325E-9	6.8652072E-12	490.65027E-15	-372.80423E-12	-476.22028E-3	-4.5615325E-9	7.1458074E-12	526.19611E-15	-367.74794E-12	-476.22028E-3	-4.5615325E-9	6.8764634E-12	523.81114E-15	-373.28260E-12	-476.22028E-3	-4.5615325E-9	7.0526462E-12	494.40958E-15
-474.96870E-3	-366.68280E-12	-474.96870E-3	-4.5615325E-9	6.9287154E-12	514.69679E-15	-371.22222E-12	-474.96870E-3	-4.5615325E-9	6.8945886E-12	412.59750E-15	-366.19305E-12	-474.96870E-3	-4.5615325E-9	6.8767544E-12	522.25872E-15	-371.49869E-12	-474.96870E-3	-4.5615325E-9	6.9915879E-12	487.41940E-15
-473.71715E-3	-364.55675E-12	-473.71715E-3	-4.5615325E-9	6.8670889E-12	514.39121E-15	-370.12887E-12	-473.71715E-3	-4.5615325E-9	6.9725558E-12	529.86418E-15	-364.39246E-12	-473.71715E-3	-4.5615325E-9	6.8622165E-12	534.52924E-15	-369.83860E-12	-473.71715E-3	-4.5615325E-9	6.9487428E-12	507.15785E-15
-472.46557E-3	-362.08864E-12	-472.46557E-3	-4.5615325E-9	6.8509725E-12	551.72425E-15	-368.26237E-12	-472.46557E-3	-4.5615325E-9	6.8254057E-12	511.80371E-15	-362.51105E-12	-472.46557E-3	-4.5615325E-9	6.8279154E-12	559.84639E-15	-368.13014E-12	-472.46557E-3	-4.5615325E-9	6.9318488E-12	533.97288E-15
-471.21403E-3	-360.92876E-12	-471.21403E-3	-4.5615325E-9	6.7290054E-12	638.73245E-15	-366.49184E-12	-471.21403E-3	-4.5615325E-9	7.0626959E-12	616.74645E-15	-360.59211E-12	-471.21403E-3	-4.5615325E-9	6.7893321E-12	573.21324E-15	-366.18344E-12	-471.21403E-3	-4.5615325E-9	6.9312624E-12	557.56051E-15
-469.96245E-3	-358.50639E-12	-469.96245E-3	-4.5615325E-9	6.7909012E-12	556.30121E-15	-363.91548E-12	-469.96245E-3	-4.5615325E-9	6.8952725E-12	549.07690E-15	-358.92711E-12	-469.96245E-3	-4.5615325E-9	6.7530911E-12	563.66538E-15	-364.23578E-12	-469.96245E-3	-4.5615325E-9	6.8988478E-12	560.50097E-15
-468.71090E-3	-356.95968E-12	-468.71090E-3	-4.5615325E-9	6.7417461E-12	535.23061E-15	-361.80003E-12	-468.71090E-3	-4.5615325E-9	6.8329847E-12	539.19965E-15	-357.39037E-12	-468.71090E-3	-4.5615325E-9	6.7290748E-12	537.59601E-15	-362.56956E-12	-468.71090E-3	-4.5615325E-9	6.8563905E-12	553.50592E-15
-467.45932E-3	-356.83667E-12	-467.45932E-3	-4.5615325E-9	6.6274399E-12	496.90384E-15	-361.46014E-12	-467.45932E-3	-4.5615325E-9	6.7745727E-12	566.27533E-15	-355.85201E-12	-467.45932E-3	-4.5615325E-9	6.7082065E-12	503.97598E-15	-361.14989E-12	-467.45932E-3	-4.5615325E-9	6.8043869E-12	539.40153E-15
-466.20774E-3	-353.83219E-12	-466.20777E-3	-4.5615325E-9	6.7789758E-12	489.43575E-15	-360.23828E-12	-466.20777E-3	-4.5615325E-9	6.8046025E-12	511.49726E-15	-354.44611E-12	-466.20777E-3	-4.5615325E-9	6.6899251E-12	488.63973E-15	-359.65123E-12	-466.20777E-3	-4.5615325E-9	6.7922673E-12	535.83749E-15
-464.95619E-3	-352.45201E-12	-464.95619E-3	-4.5615325E-9	6.6242363E-12	435.49043E-15	-358.09444E-12	-464.95619E-3	-4.5615325E-9	6.7335464E-12	516.17629E-15	-353.31874E-12	-464.95619E-3	-4.5615325E-9	6.6724326E-12	487.95798E-15	-357.88844E-12	-464.95619E-3	-4.5615325E-9	6.7966639E-12	540.77153E-15
-463.70465E-3	-352.76210E-12	-463.70465E-3	-4.5615325E-9	6.6673815E-12	534.90686E-15	-355.37281E-12	-463.70465E-3	-4.5615325E-9	6.8797901E-12	575.82487E-15	-352.10634E-12	-463.70465E-3	-4.5615325E-9	6.6505672E-12	505.66913E-15	-356.03234E-12	-463.70465E-3	-4.5615325E-9	6.7971770E-12	549.08834E-15
-462.45307E-3	-352.24812E-12	-462.45307E-3	-4.5615325E-9	6.6335782E-12	519.11470E-15	-354.10777E-12	-462.45307E-3	-4.5615325E-9	6.7975426E-12	569.89006E-15	-350.36715E-12	-462.45307E-3	-4.5615325E-9	6.6196926E-12	527.74121E-15	-354.49643E-12	-462.45307E-3	-4.5615325E-9	6.7843474E-12	553.48217E-15
-461.20149E-3	-347.56598E-12	-461.20149E-3	-4.5615325E-9	6.5681627E-12	562.53006E-15	-353.32801E-12	-461.20149E-3	-4.5615325E-9	6.6991157E-12	539.63968E-15	-347.88553E-12	-461.20149E-3	-4.5615325E-9	6.6073640E-12	539.61284E-15	-353.20849E-12	-461.20149E-3	-4.5615325E-9	6.7629760E-12	546.32590E-15
-459.94994E-3	-344.02919E-12	-459.94994E-3	-4.5615325E-9	6.5855346E-12	554.62346E-15	-352.57305E-12	-459.94994E-3	-4.5615325E-9	6.7776644E-12	528.19175E-15	-345.37273E-12	-459.94994E-3	-4.5615325E-9	6.6076888E-12	543.71422E-15	-351.74205E-12	-459.94994E-3	-4.5615325E-9	6.7331384E-12	523.57760E-15
-458.69836E-3	-342.80587E-12	-458.69836E-3	-4.5615325E-9	6.6446219E-12	493.64050E-15	-350.16084E-12	-458.69836E-3	-4.5615325E-9	6.7154784E-12	523.50686E-15	-343.49792E-12	-458.69836E-3	-4.5615325E-9	6.6128878E-12	545.44845E-15	-349.83641E-12	-458.69836E-3	-4.5615325E-9	6.7089364E-12	500.99925E-15
-457.44681E-3	-342.94043E-12	-457.44681E-3	-4.5615325E-9	6.6475085E-12	604.83243E-15	-347.10729E-12	-457.44681E-3	-4.5615325E-9	6.6571102E-12	430.86883E-15	-342.26488E-12	-457.44681E-3	-4.5615325E-9	6.6094495E-12	549.23671E-15	-347.91608E-12	-457.44681E-3	-4.5615325E-9	6.6813057E-12	493.38918E-15
-456.19524E-3	-341.36655E-12	-456.19524E-3	-4.5615325E-9	6.5559632E-12	524.05611E-15	-345.44695E-12	-456.19524E-3	-4.5615325E-9	6.6651918E-12	492.07621E-15	-340.87672E-12	-456.19524E-3	-4.5615325E-9	6.5835011E-12	553.76558E-15	-346.29796E-12	-456.19524E-3	-4.5615325E-9	6.6633517E-12	499.36119E-15
-454.94369E-3	-339.42088E-12	-454.94369E-3	-4.5615325E-9	6.5686818E-12	563.72978E-15	-345.93256E-12	-454.94369E-3	-4.5615325E-9	6.6124849E-12	567.55523E-15	-339.35316E-12	-454.94369E-3	-4.5615325E-9	6.5579217E-12	559.00277E-15	-344.82739E-12	-454.94369E-3	-4.5615325E-9	6.6603793E-12	515.19634E-15
-453.69211E-3	-336.32919E-12	-453.69211E-3	-4.5615325E-9	6.4931064E-12	565.44656E-15	-343.80870E-12	-453.69211E-3	-4.5615325E-9	6.7271219E-12	495.64975E-15	-338.00096E-12	-453.69211E-3	-4.5615325E-9	6.5499459E-12	560.31671E-15	-343.17083E-12	-453.69211E-3	-4.5615325E-9	6.6585817E-12	532.20297E-15
