Experiment	bias spectroscopy	
Saved Date	29.06.2018 19:04:02	
User		
Date		
X (m)	-314.596E-9	
Y (m)	-55.1683E-9	
Z (m)	-50.174E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	40E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	29.06.2018 19:01:00	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	LI Demod 1 X [bwd] (A)	LI Demod 1 Y [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	Z (m) [bwd] [filt]	LI Demod 1 X (A) [bwd] [filt]	LI Demod 1 Y (A) [bwd] [filt]
-500.00000E-3	-400.56766E-12	-500.00000E-3	-50.174020E-9	7.4716622E-12	867.85538E-15	-419.50404E-12	-500.00000E-3	-50.174020E-9	7.8464978E-12	364.80657E-15	-400.56766E-12	-500.00000E-3	-50.174020E-9	7.4716622E-12	867.85538E-15	-419.50404E-12	-500.00000E-3	-50.174020E-9	7.8464978E-12	364.80657E-15
-498.99900E-3	-398.16228E-12	-498.99900E-3	-50.174020E-9	7.4107370E-12	817.90634E-15	-417.16436E-12	-498.99900E-3	-50.174020E-9	7.4623398E-12	642.84559E-15	-398.98157E-12	-498.99900E-3	-50.174020E-9	7.4788708E-12	828.33702E-15	-418.40803E-12	-498.99900E-3	-50.174020E-9	7.8078204E-12	527.92764E-15
-497.99800E-3	-397.94174E-12	-497.99800E-3	-50.174020E-9	7.5396243E-12	769.83797E-15	-418.54750E-12	-497.99800E-3	-50.174020E-9	7.9211655E-12	708.68555E-15	-397.48047E-12	-497.99800E-3	-50.174020E-9	7.4665404E-12	810.81143E-15	-417.04387E-12	-497.99800E-3	-50.174020E-9	7.8051853E-12	661.88689E-15
-496.99700E-3	-396.06063E-12	-496.99700E-3	-50.174020E-9	7.4970074E-12	807.40520E-15	-415.73742E-12	-496.99700E-3	-50.174020E-9	8.0022664E-12	619.37125E-15	-396.15775E-12	-496.99700E-3	-50.174020E-9	7.4363371E-12	809.31101E-15	-415.61196E-12	-496.99700E-3	-50.174020E-9	7.8695696E-12	706.49151E-15
-495.99600E-3	-394.70183E-12	-495.99600E-3	-50.174020E-9	7.3163949E-12	857.33612E-15	-413.00718E-12	-495.99600E-3	-50.174020E-9	7.7571933E-12	962.07103E-15	-394.50235E-12	-495.99600E-3	-50.174020E-9	7.3889029E-12	805.16930E-15	-414.00719E-12	-495.99600E-3	-50.174020E-9	7.9133436E-12	734.65718E-15
-494.99500E-3	-393.72258E-12	-494.99500E-3	-50.174020E-9	7.3322789E-12	787.79122E-15	-413.01826E-12	-494.99500E-3	-50.174020E-9	8.0447610E-12	461.24828E-15	-392.67276E-12	-494.99500E-3	-50.174020E-9	7.3573378E-12	783.48835E-15	-412.32795E-12	-494.99500E-3	-50.174020E-9	7.9099678E-12	747.79169E-15
-493.99400E-3	-388.87257E-12	-493.99400E-3	-50.174020E-9	7.3262958E-12	730.75254E-15	-410.61585E-12	-493.99400E-3	-50.174020E-9	7.8635241E-12	965.32081E-15	-390.93498E-12	-493.99400E-3	-50.174020E-9	7.3634874E-12	737.44537E-15	-410.87350E-12	-493.99400E-3	-50.174020E-9	7.9058158E-12	775.97179E-15
-492.99300E-3	-390.18061E-12	-492.99300E-3	-50.174020E-9	7.4381803E-12	703.18100E-15	-409.22854E-12	-492.99300E-3	-50.174020E-9	7.8730087E-12	740.97927E-15	-389.42699E-12	-492.99300E-3	-50.174020E-9	7.3742705E-12	694.22419E-15	-409.34320E-12	-492.99300E-3	-50.174020E-9	7.8688479E-12	793.75005E-15
-491.99200E-3	-388.47009E-12	-491.99200E-3	-50.174020E-9	7.4196196E-12	601.70299E-15	-408.38208E-12	-491.99200E-3	-50.174020E-9	7.9447057E-12	815.51758E-15	-388.19734E-12	-491.99200E-3	-50.174020E-9	7.3545189E-12	674.10584E-15	-407.83066E-12	-491.99200E-3	-50.174020E-9	7.7855118E-12	815.66427E-15
-490.99100E-3	-386.28223E-12	-490.99100E-3	-50.174020E-9	7.2480928E-12	694.84685E-15	-405.32028E-12	-490.99100E-3	-50.174020E-9	7.5323072E-12	860.40056E-15	-387.23477E-12	-490.99100E-3	-50.174020E-9	7.3019282E-12	673.55740E-15	-406.33233E-12	-490.99100E-3	-50.174020E-9	7.6831232E-12	808.90226E-15
